County,Population2022,FIPS,District,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12
Accomack,33191,51001,2,Northumberland,Lancaster,Middlesex,Mathews,Northampton,,,,,,,
Albemarle,114534,51003,5,CharlottesvilleCity,Nelson,Augusta,Rockingham,Greene,Orange,Louisa,Fluvanna,Buckingham,Nelson,,
AlexandriaCity,155525,51510,8,Fairfax,Arlington,,,,,,,,,,
Alleghany,14835,51005,6,Craig,Bath,Botetourt,CovingtonCity,Rockbridge,,,,,,,
Amelia,13455,51007,5,PrinceEdward,Cumberland,Powhatan,Chesterfield,Dinwiddie,Nottoway,,,,,,
Amherst,31589,51009,5,Rockbridge,Nelson,Appomattox,Campbell,Bedford,LynchburgCity,,,,,,
Appomattox,16748,51011,5,Campbell,Amherst,Nelson,Buckingham,PrinceEdward,Charlotte,,,,,,
Arlington,234000,51013,8,Fairfax,FallsChurchCity,AlexandriaCity,,,,,,,,,
Augusta,78064,51015,6,Highland,Rockingham,Albemarle,Nelson,Rockbridge,Bath,StauntonCity,WaynesboroCity,,,,
Bath,4049,51017,6,Alleghany,Highland,Augusta,Rockbridge,,,,,,,,
Bedford,80848,51019,9,Roanoke,Botetourt,Rockbridge,Amherst,LynchburgCity,Campbell,Pittsylvania,Franklin,BedfordCity,,,
Bland,6148,51021,9,Tazewell,Giles,Wythe,Pulaski,Smyth,,,,,,,
Botetourt,34135,51023,6,Craig,Alleghany,Rockbridge,Bedford,Roanoke,,,,,,,
BristolCity,16975,51520,9,Washington,,,,,,,,,,,
Brunswick,15921,51025,4,Mecklenburg,Lunenburg,Nottoway,Dinwiddie,Greensville,,,,,,,
Buchanan,19352,51027,9,Russell,Tazewell,Dickenson,,,,,,,,,
Buckingham,16982,51029,5,Appomattox,Nelson,Albemarle,Fluvanna,Cumberland,PrinceEdward,,,,,,
BuenaVistaCity,6591,51530,6,Rockbridge,,,,,,,,,,,
Campbell,55141,51031,5,Bedford,LynchburgCity,Amherst,Appomattox,Charlotte,Halifax,Pittsylvania,,,,,
Caroline,31957,51033,7,Hanover,Spotsylvania,KingGeorge,Stafford,Essex,KingAndQueen,KingWilliam,,,,,
Carroll,29147,51035,9,GalaxCity,Wythe,Pulaski,Floyd,Patrick,Grayson,,,,,,
CharlesCty,6605,51036,4,Henrico,NewKent,JamesCty,PrinceGeorge,Chesterfield,Surry,,,,,,
Charlotte,11475,51037,5,Halifax,Campbell,Appomattox,PrinceEdward,Lunenburg,Mecklenburg,,,,,,
CharlottesvilleCity,45373,51540,5,Albemarle,,,,,,,,,,,
ChesapeakeCity,252488,51550,2,SuffolkCity,VirginiaBeachCity,PortsmouthCity,NorfolkCity,,,,,,,,
Chesterfield,378408,51041,4,Amelia,Powhatan,RichmondCity,ColonialHeightsCity,HopewellCity,PrinceGeorge,Dinwiddie,CharlesCty,Goochland,Henrico,,
Clarke,15266,51043,6,Frederick,Warren,Fauquier,Loudoun,,,,,,,,
ColonialHeightsCity,18294,51570,4,Chesterfield,PrinceGeorge,PetersburgCity,Dinwiddie,,,,,,,,
CovingtonCity,5679,51580,6,Alleghany,,,,,,,,,,,
Craig,4847,51045,9,Giles,Montgomery,Roanoke,Botetourt,Alleghany,,,,,,,
Culpeper,54381,51047,7,Madison,Rappahannock,Fauquier,Stafford,Spotsylvania,Orange,,,,,,
Cumberland,9746,51049,5,Buckingham,Fluvanna,Goochland,Powhatan,Amelia,PrinceEdward,,,,,,
DanvilleCity,42229,51590,5,Pittsylvania,,,,,,,,,,,
Dickenson,13725,51051,9,Wise,Buchanan,Russell,,,,,,,,,
Dinwiddie,28161,51053,4,Brunswick,Nottoway,Amelia,Chesterfield,PetersburgCity,ColonialHeightsCity,PrinceGeorge,Sussex,Greensville,,,
EmporiaCity,5481,51595,4,Greensville,,,,,,,,,,,
Essex,10630,51057,1,Caroline,KingGeorge,Richmond,Lancaster,Middlesex,KingAndQueen,Caroline,Westmoreland,,,,
Fairfax,1138331,51059,11,FairfaxCity,FallsChurchCity,Loudoun,PrinceWilliam,Arlington,AlexandriaCity,,,,,,
FairfaxCity,24835,51600,11,Fairfax,,,,,,,,,,,
FallsChurchCity,14586,51610,8,Fairfax,Arlington,,,,,,,,,,
Fauquier,74664,51061,10,Culpeper,Rappahannock,Warren,Clarke,Loudoun,PrinceWilliam,Stafford,,,,,
Floyd,15619,51063,9,Pulaski,Carroll,Montgomery,Roanoke,Franklin,Patrick,,,,,,
Fluvanna,28159,51065,5,Albemarle,Louisa,Goochland,Cumberland,Buckingham,,,,,,,
Franklin,55074,51067,9,Floyd,Roanoke,Bedford,Pittsylvania,Henry,Patrick,,,,,,
FranklinCity,8247,51620,2,Southampton,IsleOfWight,,,,,,,,,,
Frederick,95051,51069,6,Shenandoah,Warren,Clarke,WinchesterCity,,,,,,,,
FredericksburgCity,28757,51630,7,Spotsylvania,Stafford,,,,,,,,,,
GalaxCity,6730,51640,9,Grayson,Carroll,,,,,,,,,,
Giles,16453,51071,9,Bland,Craig,Pulaski,Montgomery,,,,,,,,
Gloucester,39493,51073,1,KingWilliam,KingAndQueen,Middlesex,Mathews,York,Northampton,PoquosonCity,JamesCty,NewKent,KingWilliam,,
Goochland,26109,51075,5,Fluvanna,Louisa,Hanover,Henrico,Chesterfield,Powhatan,Cumberland,,,,,
Grayson,15343,51077,9,Washington,Smyth,Wythe,Carroll,GalaxCity,,,,,,,
Greene,21107,51079,7,Albemarle,Rockingham,Page,Madison,Orange,,,,,,,
Greensville,11226,51081,4,Brunswick,Sussex,Dinwiddie,Southampton,EmporiaCity,,,,,,,
Halifax,33644,51083,5,Pittsylvania,Campbell,Charlotte,Mecklenburg,,,,,,,,
HamptonCity,138037,51650,3,PoquosonCity,York,NewportNewsCity,NorfolkCity,PortsmouthCity,Northampton,Mathews,SuffolkCity,VirginiaBeachCity,,,
Hanover,112938,51085,1,Louisa,Spotsylvania,Caroline,KingWilliam,NewKent,Henrico,Goochland,,,,,
HarrisonburgCity,51158,51660,6,Rockingham,,,,,,,,,,,
Henrico,333962,51087,4,Goochland,Hanover,NewKent,CharlesCty,Chesterfield,RichmondCity,Powhatan,,,,,
Henry,49906,51089,9,Patrick,Franklin,Pittsylvania,MartinsvilleCity,,,,,,,,
Highland,2301,51091,6,Bath,Augusta,,,,,,,,,,
HopewellCity,22962,51670,4,PrinceGeorge,Chesterfield,,,,,,,,,,
IsleOfWight,40151,51093,2,SuffolkCity,Southampton,Surry,FranklinCity,NewportNewsCity,NorfolkCity,PortsmouthCity,,,,,
JamesCty,81199,51095,1,CharlesCty,NewKent,Gloucester,York,WilliamsburgCity,Surry,PrinceGeorge,KingAndQueen,NewportNewsCity,,,
KingAndQueen,6718,51097,1,Caroline,Essex,Middlesex,Gloucester,KingWilliam,JamesCty,NewKent,,,,,
KingGeorge,27856,51099,7,Stafford,Caroline,Westmoreland,Essex,,,,,,,,
KingWilliam,18492,51101,1,Hanover,Caroline,KingAndQueen,Gloucester,NewKent,,,,,,,
Lancaster,10750,51103,1,Northumberland,Richmond,Essex,Middlesex,Accomack,Northampton,,,,,,
Lee,21982,51105,9,Wise,Scott,,,,,,,,,,
LexingtonCity,7457,51678,6,Rockbridge,,,,,,,,,,,
Loudoun,432085,51107,10,Clarke,Fauquier,Fairfax,PrinceWilliam,,,,,,,,
Louisa,40116,51109,5,Albemarle,Orange,Spotsylvania,Hanover,Goochland,Fluvanna,,,,,,
Lunenburg,12031,51111,5,Mecklenburg,Charlotte,PrinceEdward,Nottoway,Brunswick,,,,,,,
LynchburgCity,79287,51680,5,Bedford,Amherst,Campbell,,,,,,,,,
Madison,14000,51113,7,Greene,Page,Rappahannock,Culpeper,Orange,,,,,,,
ManassasCity,42642,51683,10,PrinceWilliam,ManassasParkCity,,,,,,,,,,
ManassasParkCity,16703,51685,10,PrinceWilliam,ManassasCity,,,,,,,,,,
MartinsvilleCity,13725,51690,9,Henry,,,,,,,,,,,
Mathews,8490,51115,1,Gloucester,Middlesex,Northampton,Accomack,PoquosonCity,HamptonCity,NorfolkCity,VirginiaBeachCity,,,,
Mecklenburg,30508,51117,5,Halifax,Charlotte,Lunenburg,Brunswick,,,,,,,,
Middlesex,10943,51119,1,KingAndQueen,Essex,Gloucester,Mathews,Lancaster,Accomack,Northampton,Richmond,,,,
Montgomery,98915,51121,9,Pulaski,RadfordCity,Floyd,Roanoke,Craig,Giles,,,,,,
Nelson,14652,51125,5,Amherst,Rockbridge,Augusta,Albemarle,Buckingham,Appomattox,,,,,,
NewKent,24986,51127,1,Hanover,KingWilliam,JamesCty,CharlesCty,Henrico,Gloucester,KingAndQueen,,,,,
NewportNewsCity,184306,51700,3,York,HamptonCity,Surry,IsleOfWight,SuffolkCity,NorfolkCity,PortsmouthCity,JamesCty,,,,
NorfolkCity,232995,51710,3,VirginiaBeachCity,ChesapeakeCity,PortsmouthCity,IsleOfWight,NewportNewsCity,HamptonCity,Northampton,Mathews,,,,
Northampton,11900,51131,2,Accomack,Mathews,Middlesex,Lancaster,Northumberland,PoquosonCity,HamptonCity,NorfolkCity,VirginiaBeachCity,HamptonCity,Gloucester,York
Northumberland,12302,51133,1,Richmond,Westmoreland,Lancaster,Accomack,Northampton,,,,,,,
NortonCity,3609,51720,9,Wise,,,,,,,,,,,
Nottoway,15559,51135,5,PrinceEdward,Amelia,Dinwiddie,Brunswick,Lunenburg,,,,,,,
Orange,37991,51137,7,Greene,Madison,Culpeper,Spotsylvania,Louisa,Albemarle,,,,,,
Page,23750,51139,6,Shenandoah,Warren,Rappahannock,Madison,Rockingham,Greene,,,,,,
Patrick,17643,51141,9,Carroll,Floyd,Franklin,Henry,,,,,,,,
PetersburgCity,33394,51730,4,Dinwiddie,ColonialHeightsCity,PrinceGeorge,,,,,,,,,
Pittsylvania,59952,51143,5,Henry,Franklin,Bedford,Campbell,Halifax,DanvilleCity,,,,,,
PoquosonCity,12582,51735,1,York,Gloucester,Mathews,Northampton,HamptonCity,,,,,,,
PortsmouthCity,97029,51740,3,ChesapeakeCity,SuffolkCity,NewportNewsCity,HamptonCity,NorfolkCity,IsleOfWight,,,,,,
Powhatan,31489,51145,5,Cumberland,Goochland,Henrico,Chesterfield,Amelia,,,,,,,
PrinceEdward,21927,51147,5,Charlotte,Appomattox,Buckingham,Cumberland,Amelia,Nottoway,Lunenburg,,,,,
PrinceGeorge,43134,51149,4,Surry,Sussex,Dinwiddie,PetersburgCity,ColonialHeightsCity,HopewellCity,Chesterfield,CharlesCty,JamesCty,,,
PrinceWilliam,486943,51153,10,Fauquier,Loudoun,Fairfax,ManassasCity,ManassasParkCity,Stafford,,,,,,
Pulaski,33706,51155,9,Bland,Wythe,Carroll,Floyd,Montgomery,RadfordCity,Giles,,,,,
RadfordCity,16738,51750,9,Pulaski,Montgomery,,,,,,,,,,
Rappahannock,7502,51157,10,Page,Warren,Fauquier,Culpeper,Madison,,,,,,,
Richmond,9080,51159,1,Westmoreland,Northumberland,Lancaster,Essex,Middlesex,,,,,,,
RichmondCity,229395,51760,4,Henrico,Chesterfield,,,,,,,,,,
Roanoke,96914,51161,6,Craig,Montgomery,Floyd,Franklin,Bedford,Botetourt,SalemCity,RoanokeCity,,,,
RoanokeCity,97847,51770,6,Roanoke,SalemCity,,,,,,,,,,
Rockbridge,22593,51163,6,Alleghany,Bath,Augusta,Nelson,Amherst,Bedford,Botetourt,LexingtonCity,BuenaVistaCity,,,
Rockingham,85397,51165,6,HarrisonburgCity,Augusta,Shenandoah,Page,Greene,Albemarle,,,,,,
Russell,25448,51167,9,Wise,Dickenson,Buchanan,Tazewell,Smyth,Washington,Scott,,,,,
SalemCity,25523,51775,6,Roanoke,RoanokeCity,,,,,,,,,,
Scott,21476,51169,9,Lee,Wise,Russell,Washington,,,,,,,,
Shenandoah,44968,51171,6,Rockingham,Page,Warren,Frederick,,,,,,,,
Smyth,29449,51173,9,Washington,Tazewell,Russell,Bland,Wythe,Grayson,,,,,,
Southampton,17932,51175,4,Greensville,Sussex,Surry,SuffolkCity,FranklinCity,IsleOfWight,,,,,,
Spotsylvania,146688,51177,7,Louisa,Orange,Culpeper,Stafford,FredericksburgCity,Caroline,Hanover,,,,,
Stafford,163380,51179,7,KingGeorge,Caroline,Spotsylvania,FredericksburgCity,Culpeper,Fauquier,PrinceWilliam,,,,,
StauntonCity,25904,51790,6,Augusta,,,,,,,,,,,
SuffolkCity,98537,51800,2,IsleOfWight,Southampton,ChesapeakeCity,NewportNewsCity,HamptonCity,PortsmouthCity,,,,,,
Surry,6527,51181,4,PrinceGeorge,Sussex,IsleOfWight,Southampton,NewportNewsCity,JamesCty,CharlesCty,,,,,
Sussex,10680,51183,4,Greensville,Southampton,PrinceGeorge,Surry,Dinwiddie,,,,,,,
Tazewell,39821,51185,9,Russell,Smyth,Bland,Buchanan,,,,,,,,
VirginiaBeachCity,455618,51810,2,NorfolkCity,Mathews,Northampton,HamptonCity,ChesapeakeCity,,,,,,,
Warren,41440,51187,6,Shenandoah,Frederick,Clarke,Fauquier,Rappahannock,Page,,,,,,
Washington,53958,51191,9,Scott,Russell,Smyth,BristolCity,Grayson,,,,,,,
WaynesboroCity,22808,51820,6,Augusta,,,,,,,,,,,
Westmoreland,18712,51193,1,KingGeorge,Essex,Richmond,Northumberland,,,,,,,,
WinchesterCity,27936,51840,6,Frederick,,,,,,,,,,,
Wise,35421,51195,9,Lee,Scott,Dickenson,NortonCity,Russell,,,,,,,
Wythe,28111,51197,9,Bland,Smyth,Grayson,Carroll,Pulaski,,,,,,,
York,71341,51199,1,Gloucester,JamesCty,WilliamsburgCity,NewportNewsCity,PoquosonCity,HamptonCity,Northampton,,,,,
WilliamsburgCity,15920,51830,1,JamesCty,York,,,,,,,,,,
